por,C0,u0,k_r,D_eff,X_1d,X_3d,X_7d,X_14d,X_21d,X_30d,X_45d,X_60d
0.28136,0.77734,9.4452e-05,3.5385e-07,8.07e-10,0.0037525509639783072,0.011416400094252488,0.02657646281453263,0.05272947519522586,0.07844635710136327,0.11088228724684379,0.16357396955059378,0.21420242963410363
0.35543,0.50588,6.511e-05,2.9397e-07,7.15e-10,0.0018551724681434845,0.005695969338700868,0.013339633944178364,0.026624652593611797,0.03981599083812637,0.05663785255693998,0.08435323228698388,0.111617544849134
0.48533,0.21159,9.3387e-05,5.9974e-07,8.42e-10,0.0013330508458445633,0.004057764619190607,0.009494516561046495,0.0189758485477054,0.02842196129830077,0.04050731592034962,0.06052110685720746,0.08037033020613549
0.49173,0.32907,7.4023e-05,9.0058e-07,6.09e-10,0.0019610947283896785,0.005966118285623101,0.013965617741150904,0.02793638768182749,0.04187113589923297,0.059743439417984656,0.08941762237739104,0.11891541834558417
0.43358,0.34769,8.704e-05,3.7831e-07,4.38e-10,0.0016848226536058108,0.0051406413094895465,0.012026294404540172,0.024001487571360003,0.03589496236482237,0.051063905369561624,0.07609091385847522,0.1007438314120761
0.36901,0.33424,9.8086e-05,2.7933e-07,2.71e-10,0.0014046843980453083,0.004281975300329477,0.010013183592304298,0.019985202945295266,0.029889561221084437,0.04251062978784814,0.06330591848130251,0.08379489242172333
0.45548,0.80573,4.6196e-05,2.1507e-07,8.63e-10,0.0020992157069782413,0.00650933345163518,0.015285313329766459,0.03051661924838056,0.04562136735794442,0.06489107470400679,0.09657340687361105,0.1276462123298151
0.30685,0.46106,4.519e-05,9.2826e-07,7e-10,0.001748012157890444,0.005327740771664646,0.012485092585287738,0.025005177410258428,0.037519084992112095,0.05359916160597522,0.0803783721036625,0.10712351583552615
0.37134,0.44146,8.2397e-05,5.0952e-07,2.95e-10,0.002407138064531411,0.00733894796445711,0.017161223852371177,0.034227789928307994,0.05115637869029155,0.0727604180923761,0.10833461627456165,0.14326946124697704
0.48448,0.41602,8.7998e-05,5.0335e-07,7.53e-10,0.0023445061030277214,0.007142129123624663,0.01669556971358832,0.03328942849911731,0.049744622302358654,0.07073922404986122,0.10529593799104531,0.13921450929811408
0.26905,0.15728,2.6936e-05,1.3394e-08,8.55e-10,3.832624924504646e-05,0.00012389497758236168,0.000295004754663597,0.0005943684877000033,0.0008936506370487152,0.00127832621739854,0.001919130194133034,0.002559559113576415
0.48357,0.86979,4.0853e-05,1.0215e-07,5.24e-10,0.0013364729797675778,0.004183096446841006,0.009850986497632164,0.01970618732527407,0.0294917002786782,0.041975244091774555,0.06250456515400649,0.08271895941803886
0.43806,0.12729,7.6699e-05,7.1053e-07,9.85e-10,0.0007420617880509184,0.0022619100671709136,0.005299534601456046,0.010608050377879041,0.01590937150274563,0.022714926944454872,0.034029066359293925,0.04530816292245099
0.44002,0.40727,9.9572e-05,2.1236e-07,7.67e-10,0.0014091147982123742,0.004296693123923223,0.010048423472966639,0.020038563049622815,0.029953470791787784,0.04259409810071213,0.06337191018408594,0.08381965719795836
0.42795,0.14895,8.2635e-05,4.6695e-07,2.17e-10,0.0007829117931271723,0.002390398238913627,0.005601026530872688,0.011205411606992843,0.016795579182803833,0.02396251278367867,0.03585152693027105,0.047673209409877515
0.33318,0.88379,3.3717e-05,8.0468e-07,1.43e-10,0.002498086397618171,0.007634760694484766,0.01790557426527184,0.0358724662287051,0.05383063523921505,0.0769094284496592,0.11534437406165532,0.1537318619372099
0.28712,0.38387,5.3298e-05,7.9155e-07,6.04e-10,0.0016798485628239934,0.0051278724249184116,0.012018700367947499,0.0240647991304056,0.036095931597589836,0.051541607036105996,0.07723366253060693,0.10284433275845606
0.3289,0.57572,8.2973e-05,2.6687e-07,8.16e-10,0.002210050667691643,0.006753376198882055,0.015782014204149486,0.031418891311660646,0.046893105226607834,0.06659607416003632,0.09888529199090224,0.1304124254089547
0.25792,0.42557,9.1409e-05,1.3921e-07,5.5e-10,0.0010324843267839334,0.0031560511469468366,0.0073895091901121646,0.014753798833818221,0.022074053274539707,0.03142315341122126,0.046835736636073544,0.06204773921069795
0.26345,0.16686,7.22e-05,4.2482e-07,6.67e-10,0.000777424696174589,0.002379596208653134,0.005578547715441751,0.011164332109793507,0.01673727116777568,0.023883107726429875,0.03573773978969186,0.04752876794131122
0.31793,0.95034,2.0348e-05,2.2259e-07,5.38e-10,0.0014324563583403283,0.004554682070286087,0.010790872943009733,0.021681258236662004,0.032547778924191695,0.046484827197841305,0.06963279748824025,0.09266110368977543
0.45025,0.80993,7.9368e-05,9.3537e-07,8.75e-10,0.0051523461606394205,0.015650919417775078,0.03655425611976015,0.0729235000576769,0.10902677157540097,0.1550813418865905,0.2306115710682478,0.30424156519303713
